title,unit_price,description,date_updated
Propel Sport Drink,55,"Revision of Infusion Device in Lumsac Disc, Perc Approach",05/03/2021
Beer - Rickards Red,11,"Supplement Left Basilic Vein with Autol Sub, Open Approach",18/07/2021
"Club Soda - Schweppes, 355 Ml",22,"Irrigation of Indwell Dev using Irrigat, Extern Approach",10/12/2021
Muffin Mix - Blueberry,74,"Release Nasal Turbinate, Percutaneous Endoscopic Approach",19/06/2021
Cheese - Grana Padano,19,"Reattachment of Bladder Neck, Open Approach",03/04/2021
Cheese - Mozzarella,68,"Drainage of Thymus, Percutaneous Endoscopic Approach, Diagn",30/04/2021
Anchovy Paste - 56 G Tube,42,"Occlusion L Hypogast Vein w Extralum Dev, Open",16/02/2021
"Yogurt - Raspberry, 175 Gr",83,"Dilate of R Thyroid Art with 3 Drug-elut, Perc Endo Approach",10/08/2021
Cookies - Fortune,24,Plain Radiography of Right Wrist using Low Osmolar Contrast,23/03/2021
Extract - Raspberry,15,"Reattachment of Right Upper Leg Tendon, Open Approach",26/05/2021
Soup - Campbells Asian Noodle,16,"Restrict of L Up Lobe Bronc with Extralum Dev, Perc Approach",30/12/2021
Magnotta Bel Paese Red,3,"Excision of Right Hand Vein, Percutaneous Approach, Diagn",08/12/2021
Wine - Pinot Grigio Collavini,97,"Remove Infusion Dev from R Metatarsotars Jt, Perc Endo",03/02/2022
Sauce - Vodka Blush,92,"Replacement of Left Radius with Autol Sub, Open Approach",20/08/2021
Tomatoes,66,"Replace R Temporal Bone w Autol Sub, Perc Endo",09/12/2021
Onion Powder,86,"Insertion of Ext Fix into R Ulna, Open Approach",02/12/2021
Wine - Ruffino Chianti Classico,61,"Repair Right Hand, Open Approach",26/05/2021
Glucose,37,"Dilation of L Popl Art with 4+ Intralum Dev, Perc Approach",29/04/2021
Breakfast Quesadillas,93,"Release Greater Omentum, Open Approach",22/02/2021
Creamers - 10%,5,"Restrict Esophagast Junct w Intralum Dev, Perc",12/10/2021
Cheese - Goat With Herbs,32,"Insert of Intralum Dev into L Less Saphenous, Open Approach",26/08/2021
The Pop Shoppe - Lime Rickey,90,"Introduce Electrol/Water Bal in Fem Reprod, Perc",18/10/2021
Cheese - Ricotta,64,"Drainage of Sternum with Drainage Device, Open Approach",21/05/2021
Muffin - Mix - Creme Brule 15l,66,"Repair Vagina, Via Natural or Artificial Opening",12/02/2021
Oysters - Smoked,62,"Excision of Right Renal Artery, Perc Endo Approach",08/05/2021
Mountain Dew,33,"Revision of Spacer in Right Tarsal Joint, Open Approach",04/05/2021
"Rum - Coconut, Malibu",42,"Occlusion of Left Cephalic Vein, Percutaneous Approach",13/02/2021
Bay Leaf,57,"Transfer Abducen Nrv to Glossophar Nrv, Perc Endo Approach",30/12/2021
Smoked Paprika,13,"Insertion of Ring Ext Fix into L Femur Shaft, Perc Approach",10/06/2021
Bread - Italian Sesame Poly,22,"Drainage of Trachea, Percutaneous Approach",03/07/2021
Boogies,13,"Extirpation of Matter from Pancreas, Percutaneous Approach",06/06/2021
Turnip - White,58,"Bypass Cereb Vent to Atrium with Autol Sub, Open Approach",09/09/2021
Soup Campbells - Tomato Bisque,28,"Drainage of R Abd Bursa/Lig with Drain Dev, Open Approach",25/02/2021
Celery Root,60,"Bypass Innom Art to Bi Low Leg Art w Synth Sub, Open",13/02/2021
